mouse,day,target_cluster_id,target_shank_id,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um,cell_type,target_cell_type
29,18,162,1,3.0,5.0,pos+ngs_shank,0.1237997322168621,567.0512240245646,NG,NG
29,18,197,0,,,pos,0.0214477460629428,,NG,NG
29,18,197,0,0.0,6.0,pos+ngs_shank,0.0420787829206014,37.49999999999991,NG,NG
29,18,197,0,1.0,18.0,pos+ngs_shank,0.0461374346988848,250.9002379288388,NG,NG
29,18,197,0,2.0,25.0,pos+ngs_shank,0.0211248940273085,522.4469770968344,NG,NG
29,18,197,0,3.0,5.0,pos+ngs_shank,0.0203846471389551,756.6872813738698,NG,NG
29,18,202,2,,,pos,0.0303505884733021,,NG,NG
29,18,202,2,0.0,7.0,pos+ngs_shank,0.03222247608352,536.1770485676712,NG,NG
29,18,202,2,1.0,18.0,pos+ngs_shank,0.0380793258593351,325.79380105197544,NG,NG
29,18,202,2,2.0,24.0,pos+ngs_shank,0.0446788930460342,141.87500000000034,NG,NG
29,18,202,2,3.0,5.0,pos+ngs_shank,0.0323035557984705,261.2271283150675,NG,NG
29,18,203,0,,,pos,0.0218037561843348,,NG,NG
29,18,203,0,0.0,6.0,pos+ngs_shank,0.029003457404749,37.49999999999991,NG,NG
29,18,203,0,1.0,18.0,pos+ngs_shank,0.0262617230986202,250.9002379288388,NG,NG
29,18,203,0,2.0,25.0,pos+ngs_shank,0.0593720047345514,522.4469770968344,NG,NG
29,18,203,0,3.0,5.0,pos+ngs_shank,0.0243275026722579,756.6872813738698,NG,NG
29,18,205,2,,,pos,0.0317941912374494,,NG,NG
29,18,205,2,0.0,7.0,pos+ngs_shank,0.0326695097493042,528.9164498211011,NG,NG
29,18,205,2,1.0,18.0,pos+ngs_shank,0.0368198587287019,312.80576449163516,NG,NG
29,18,205,2,2.0,24.0,pos+ngs_shank,0.0427391039187135,113.12500000000034,NG,NG
29,18,205,2,3.0,5.0,pos+ngs_shank,0.0314065325232632,253.41097703231827,NG,NG
29,18,206,2,,,pos,0.014258448658844,,NG,NG
29,18,206,2,0.0,7.0,pos+ngs_shank,0.0204290485717657,525.8867365403014,NG,NG
29,18,206,2,1.0,18.0,pos+ngs_shank,0.0379547887676712,307.19604801005687,NG,NG
29,18,206,2,2.0,24.0,pos+ngs_shank,0.045595767306054,102.50000000000018,NG,NG
29,18,206,2,3.0,5.0,pos+ngs_shank,0.0183380765105762,250.71088846214937,NG,NG
29,18,209,2,,,pos,0.0128214471975178,,NG,NG
29,18,209,2,0.0,7.0,pos+ngs_shank,0.0115075918516005,525.8867365403014,NG,NG
29,18,209,2,1.0,18.0,pos+ngs_shank,0.0118512170353202,307.19604801005687,NG,NG
29,18,209,2,2.0,24.0,pos+ngs_shank,0.0118682415760519,102.50000000000018,NG,NG
29,18,209,2,3.0,5.0,pos+ngs_shank,0.0115854955559027,250.71088846214937,NG,NG
29,18,210,2,,,pos,0.0349708202105108,,NG,NG
29,18,210,2,0.0,7.0,pos+ngs_shank,0.0374006474528045,528.9164498211011,NG,NG
29,18,210,2,1.0,18.0,pos+ngs_shank,0.0455867048791102,312.80576449163516,NG,NG
29,18,210,2,2.0,24.0,pos+ngs_shank,0.0479511150561425,113.12500000000034,NG,NG
29,18,210,2,3.0,5.0,pos+ngs_shank,0.036363544633352,253.41097703231827,NG,NG
29,18,212,2,,,pos,0.0159295999494453,,NG,NG
29,18,212,2,0.0,7.0,pos+ngs_shank,0.0199806341238483,525.8867365403014,NG,NG
29,18,212,2,1.0,18.0,pos+ngs_shank,0.0298119407471247,307.19604801005687,NG,NG
29,18,212,2,2.0,24.0,pos+ngs_shank,0.0645996870065506,102.50000000000018,NG,NG
29,18,212,2,3.0,5.0,pos+ngs_shank,0.0216278697270666,250.71088846214937,NG,NG
29,18,213,2,,,pos,-0.0014298749398174,,NG,NG
29,18,213,2,0.0,7.0,pos+ngs_shank,0.0002552277700168,525.8867365403014,NG,NG
29,18,213,2,1.0,18.0,pos+ngs_shank,-0.0020288052959131,307.19604801005687,NG,NG
29,18,213,2,2.0,24.0,pos+ngs_shank,0.0048320394693543,102.50000000000018,NG,NG
29,18,213,2,3.0,5.0,pos+ngs_shank,-0.0010840972608933,250.71088846214937,NG,NG
29,18,215,2,,,pos,0.009163094584765,,NG,NG
29,18,215,2,0.0,7.0,pos+ngs_shank,0.0091227618597448,528.9164498211011,NG,NG
