,cluster_id,brain_region,grid_score,field_size,field_spacing,orientation,_smooth_sigma,travel,sig,null_grid_score,null_field_size,null_field_spacing,null_orientation,null__smooth_sigma,null__skip_shuffles,mouse,day,session_travel_lag,optimal_travel_lag,optimal_travel_lag_grid_score,session_travel_lag_grid_score,zero_lag_grid_score,spatial_information_score,spatial_information_score_no_lag,SC_x,SC_y,SC_z,probe_x,probe_y,theta_index,firing_rate,firing_rate_OF1,firing_rate_VR,classified_by,cell_type,grid_module
18,159,ENTm1,-0.6016221232990554,28.243829233385476,37.658438977847304,8.063816728598098,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-9.0,-24.0,-0.6016221232990554,-0.3251133896747467,0.17182812773369957,0.18943405160538873,-3330.0,3957.1111061295214,4242.3652949366615,250.0,405.0,0.05574199346098884,2.1325360346597857,1.7970018999233497,2.4144946136726695,OF1,NG,
19,160,ENTm1,0.16497619848532408,29.272630527462596,39.0301740366168,27.229949820585688,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-23.0,11.0,0.16497619848532408,-0.030994063032736965,0.11276312541230735,0.10292569191251137,-3330.0,3972.0813678185073,4241.421226632315,250.0,390.0,0.04584391886227185,4.337169741025006,4.342548039538908,5.524228232820414,OF2,NG,
20,163,ENTm1,-0.20154369498430574,31.437793504980547,41.91705800664073,27.401356723426485,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,21.0,-2.0,-0.20154369498430574,-0.28107673828608015,0.05869430688940826,0.055210560449678814,-3330.0,3927.170582751549,4244.253431545355,282.0,435.0,0.12558095287957086,12.748564773325784,14.359491043985203,10.767739380947829,OF1,NG,
21,166,ENTm1,-0.20049645332385396,33.63275822697848,44.84367763597131,16.32722568318773,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,11.0,36.0,-0.20049645332385396,-0.5053594746375014,0.4333969114755374,0.43664839477749323,-3330.0,3942.140844440535,4243.309363241008,250.0,420.0,0.036486484133226575,1.503448507033929,0.9683155065334096,1.868352425553993,OF2,NG,
22,167,ENTm1,-0.6562521917125612,45.68472792535413,60.912970567138835,18.563221036148434,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-2.0,45.0,-0.6562521917125612,-0.3539773237948626,0.04290843176113487,0.03994644378465778,-3330.0,3927.170582751549,4244.253431545355,250.0,435.0,0.11658411826815035,15.074774945704092,13.777840773849093,18.072937289223248,OF1,NG,
23,175,ENTm1,-0.3677315478355861,34.073243942533495,45.430991923377995,9.440647926078876,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-6.0,45.0,-0.3677315478355861,-0.3876842344308709,0.0828263374255455,0.08969185806015285,-3330.0,3867.289535995604,4248.029704762743,250.0,495.0,0.02721448262228434,5.594873569664266,4.578017254011623,7.179585205008124,OF1,NG,
24,179,ENTm1,-0.3504798505040687,29.41682635495159,39.222435139935456,58.90872463787064,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,23.0,-47.0,-0.3504798505040687,-0.6252075261999418,0.06137700451782875,0.06350864415542593,-3330.0,3852.319274306618,4248.9737730670895,282.0,510.0,0.11695163377499561,10.230329756372544,10.91420464275285,8.84477273658197,OF1,NG,
25,182,ENTm1,0.01546660194677113,30.746312634145966,40.99508351219462,30.487199787247704,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,10.0,-50.0,0.01546660194677113,-0.03457501156299905,0.037918700115066484,0.03231331028672067,-3330.0,3822.378750928645,4250.861909675783,282.0,540.0,0.10139512404504672,12.5718547936556,14.043053468044677,12.757881514452286,OF1,NG,
26,185,ENTm1,0.4617795586932364,56.455744619239695,75.27432615898626,49.27507606601767,1.5,2,True,,,,,,,20.0,14.0,1.8518518518518547,13.0,6.0,0.4617795586932364,-0.41686142118467523,0.05426213890804933,0.05316421946313163,-3330.0,3777.467965861687,4253.694114588823,282.0,585.0,0.11383280345562471,15.511366402142562,11.717278595270319,19.055993227836865,OF1,NG,
27,186,ENTm1,0.12368896581545968,42.118524768729024,56.15803302497203,57.297166645976795,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-10.0,-16.0,0.12368896581545968,-0.40347306195363375,0.08197785659824938,0.08282971611421563,-3330.0,3777.467965861687,4253.694114588823,250.0,585.0,0.056001726664559034,4.861644960686114,3.959187634221927,6.10805423191928,OF1,NG,
28,189,ENTm1,-0.21229603142527342,47.9615772527627,63.94876967035027,56.64367935029885,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-30.0,24.0,-0.21229603142527342,-0.2952916884998482,0.08949948636702684,0.08060818204182427,-3330.0,3747.5274424837135,4255.582251197517,250.0,615.0,0.06429933780593038,5.3920105130028935,3.826994391009175,6.865553446839884,OF1,NG,
29,190,ENTm1,-0.49102343730001974,43.379825371993434,57.83976716265791,19.14062565018193,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-12.0,41.0,-0.49102343730001974,-0.5457875053476814,0.06661458477247915,0.06362592030714753,-3330.0,3762.4977041727007,4254.63818289317,282.0,600.0,0.4592678701750935,33.866821023750184,32.8789382103217,34.156824729318274,OF1,NG,
30,193,ENTm1,-0.6128999835432514,42.07277943106311,56.097039241417484,59.64140783642291,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-20.0,-18.0,-0.6128999835432514,-0.514503635191229,0.10579820763220475,0.11152671937873293,-3330.0,3687.6463957277697,4259.358524414904,250.0,675.0,0.088270658127472,8.279215967507481,6.426244035679915,12.030966262066329,OF1,NG,
31,194,ENTm1,-0.24070600867258402,28.02404984995598,37.36539979994131,15.679485451499296,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-3.0,49.0,-0.24070600867258402,-0.5224107187232176,0.060337109662263445,0.05692923418229642,-3330.0,3687.6463957277697,4259.358524414904,282.0,675.0,0.06789085481543976,16.886876883895276,12.98963856119306,21.97512322333119,OF1,NG,
32,196,ENTm1,-0.6904761904912882,38.57102981237802,51.42803974983736,3.8959096865199907,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,10.0,42.0,-0.6904761904912882,-0.6813373510967105,0.05142607167338142,0.05198999320181706,-3330.0,3672.676134038784,4260.302592719251,282.0,690.0,0.06193006480800492,8.557475282161464,15.119602192458528,3.944238882593083,OF1,NG,
33,198,ENTm2,-0.7500954589900566,37.76082174747237,50.34776232996316,36.46502047288528,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-5.0,41.0,-0.7500954589900566,-0.28886750750221146,0.04828708464512772,0.0471208922305307,-3330.0,3657.7058723497976,4261.246661023598,282.0,705.0,0.035530710125130455,8.755154846085844,8.18276175486936,10.842014718531969,OF1,NG,
34,201,ENTm2,-0.6649480381417168,49.68938816815991,66.25251755754654,52.35417497425045,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,28.0,-48.0,-0.6649480381417168,-0.23326251260428932,0.692529619591548,0.6063858960162025,-3510.0,4330.680533238407,4145.303960794657,500.0,0.0,0.04636155042129823,0.8211123722007903,0.9608796366026923,0.7787987602572329,OF1,NG,
35,202,ENTm2,-0.48865717751138826,44.362640869677996,59.150187826237335,35.01334487466485,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,48.0,-17.0,-0.48865717751138826,-0.5524517146362925,0.06975857137702907,0.07318455049436863,-3510.0,4330.680533238407,4145.303960794657,532.0,0.0,0.05425116256406951,8.98440659304463,10.063210639570759,9.499051077948144,OF2,NG,
36,208,ENTm2,-0.6327643576503323,35.56620825318296,47.42161100424394,51.940196377850626,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,23.0,48.0,-0.6327643576503323,-0.47631869709458063,0.06485033576723838,0.06045657234973708,-3510.0,4285.894112141645,4149.68305720184,532.0,45.0,0.04142599178186492,4.475945978392658,6.039578799282614,3.9415081716524893,OF1,NG,
37,210,ENTm2,-0.5533385374579307,35.78551160234045,47.71401546978727,30.38824686268255,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,28.0,-45.0,-0.5533385374579307,-0.43223130948491983,0.053525568584324924,0.04904048366608784,-3510.0,4256.036498077136,4152.602454806629,500.0,75.0,0.31030083297203,16.610738088997334,19.001126296292963,14.001447276798514,OF1,NG,
38,217,ENTm2,-0.4847403479604358,46.266114012131965,61.68815201617595,50.764365421294826,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,25.0,49.0,-0.4847403479604358,-0.4677657826243802,0.07144543524779759,0.07334488163307405,-3510.0,4226.178884012627,4155.521852411418,500.0,105.0,0.04843531060546903,6.773411327411282,7.712649533694009,4.932756243087888,OF1,NG,
39,219,ENTm2,-0.5760375833977704,41.589750940951085,55.45300125460145,11.908493271505547,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,0.0,34.0,-0.5760375833977704,-0.46206340593464407,0.06503881832153466,0.07046835619539207,-3510.0,4241.107691044881,4154.062153609023,532.0,90.0,0.05222567963576052,6.4583963369859,7.547407979678068,4.037629196761377,OF1,NG,
40,225,ENTm2,-0.4986170179517997,48.50710467287166,64.67613956382888,19.440061915203252,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,5.0,-50.0,-0.4986170179517997,-0.6541159164318481,0.42096574735222997,0.44298334203936024,-3510.0,4226.178884012627,4155.521852411418,532.0,105.0,0.11419622056881497,2.602348967276249,3.3114407424794416,1.8290301880094482,OF1,NG,
41,226,ENTm2,-0.444649546991727,32.272881464798616,43.03050861973149,26.345760575064027,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,45.0,-44.0,-0.444649546991727,-0.545956332793063,0.1943378158691335,0.18517822939920625,-3510.0,4196.321269948118,4158.441250016207,500.0,135.0,0.021255159550853112,3.745309115783002,2.395176325461053,3.587608033751587,OF2,NG,
42,227,ENTm2,-0.5078015372155202,28.766277923828287,38.35503723177105,12.461281041485599,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,8.0,-38.0,-0.5078015372155202,-0.2069522910483187,0.04494362000434059,0.04157098394179993,-3510.0,4196.321269948118,4158.441250016207,500.0,135.0,0.04020554621422085,11.946301465623147,7.787008233001182,14.226457858303409,OF1,NG,
