,cluster_id,brain_region,grid_score,field_size,field_spacing,orientation,_smooth_sigma,travel,sig,null_grid_score,null_field_size,null_field_spacing,null_orientation,null__smooth_sigma,mouse,day,session_travel_lag,optimal_travel_lag,optimal_travel_lag_grid_score,session_travel_lag_grid_score,zero_lag_grid_score,spatial_information_score,spatial_information_score_no_lag,SC_x,SC_y,SC_z,probe_x,probe_y,theta_index,firing_rate,firing_rate_OF1,firing_rate_VR,classified_by,cell_type,grid_module,ramp_cell,speed_modulated,vr_outbound_sign,vr_homebound_sign,shank_id
25,111,PAR,0.9721334626395456,24.996883572616753,33.32917809682234,33.92357974616444,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,6.0,8.0,0.9721334626395456,0.7948675105066367,0.3697393917278246,0.2543850161671577,-3270.0,2335.62372123573,4553.718792513517,250.0,2340.0,0.2225004925867685,4.999039184634366,7.210156843567416,3.4140073160467774,OF1,GC,0,False,False,,,1
26,117,PAR,-0.12524454494319165,36.416691063311674,48.55558808441557,8.86655107634664,1.5,6,False,,,,,,25.0,25.0,5.755755755755757,-22.0,34.0,-0.12524454494319165,-0.5014145212274388,0.01654834346774519,0.015662333165649085,-3270.0,2306.178937655844,4559.463765962859,250.0,2370.0,0.6487866756330849,27.88601410981343,35.13801755142318,22.052716625777038,OF2,GC,,True,True,-,/,1
27,120,PAR,0.6221384275722149,26.59163707546511,35.455516100620144,32.82811693912768,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,6.0,5.0,0.6221384275722149,0.6420233259313333,0.1711209741375053,0.12400588032076541,-3270.0,2262.011762286013,4568.081226136871,282.0,2415.0,0.07152064477470947,5.041801243000299,5.831509271842587,4.93952079584272,OF1,GC,0,True,False,+,/,1
28,170,ENTm3,0.44060304890658974,46.14301719308402,61.52402292411204,12.345708171427388,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,6.0,21.0,0.44060304890658974,-0.08854064076995652,0.0971106091945694,0.08461918493074227,-3540.0,2565.867813343168,4497.4223147681805,500.0,2160.0,0.0015039077138199815,6.924362222146335,7.102184444911664,6.364882683385102,OF1,GC,,False,False,,,2
29,206,ENTm2,-0.22293231650959633,32.50505829437205,43.3400777258294,30.727783383643594,1.5,6,False,,,,,,25.0,25.0,5.755755755755757,2.0,5.0,-0.22293231650959633,-0.2208592750588831,0.09754262944240136,0.09542138828595574,-3540.0,2388.94706724166,4530.574231739692,532.0,2340.0,0.09895753756713367,8.333191723370973,9.059684042763163,7.641953815546523,OF2,GC,1,False,False,,,2
30,207,ENTm2,0.4692888442622738,24.699298786711648,32.9323983822822,31.4128164580083,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,3.0,38.0,0.4692888442622738,-0.36900260560550135,0.04054754791512949,0.03758831342418655,-3540.0,2374.203671733201,4533.336891487318,500.0,2355.0,0.039072685926804566,5.780090756715754,7.248147131983329,3.9059120978888497,OF1,GC,0,False,False,,,2
31,209,ENTm2,0.4313921351270199,40.11210715324065,53.482809537654205,21.43910946539211,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,-1.0,-37.0,0.4313921351270199,-0.27527856651890253,0.050479509429498276,0.06342331945156943,-3540.0,2388.94706724166,4530.574231739692,532.0,2340.0,0.08521421715044354,11.187945523438891,9.762504378457546,5.911157237816487,OF1,GC,1,False,False,,,2
32,214,ENTm2,0.758971854505935,24.80560794371496,33.07414392495328,34.88589494256914,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,3.0,19.0,0.758971854505935,0.3488155276379635,0.09441993169044785,0.09107555741109055,-3540.0,2359.4602762247423,4536.099551234944,500.0,2370.0,0.07790253928255171,7.490830694114332,10.420336214712032,7.9994009348603345,OF1,GC,0,False,False,,,2
33,215,ENTm2,0.8513217247197846,25.61850519316834,34.158006924224445,33.81009856540767,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,4.0,9.0,0.8513217247197846,0.23016461113196662,0.1227734009347908,0.10427438588810088,-3540.0,2344.7168807162834,4538.862210982569,500.0,2385.0,0.07299985762814333,6.6845340514313705,6.798262137584364,6.991798451469543,OF1,GC,0,False,False,,,2
34,219,ENTm2,0.4224177850004467,23.58294931643156,31.443932421908745,29.83587316295028,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,4.0,14.0,0.4224177850004467,-0.22381725856161738,0.13781247454316534,0.11872509346879724,-3540.0,2344.7168807162834,4538.862210982569,532.0,2385.0,0.05561372403261146,7.231939919067567,6.945224569088025,7.882096307469424,OF1,GC,0,False,False,,,2
35,221,PAR,0.46378444025863036,24.408624737028592,32.54483298270479,39.06753677059132,1.5,6,True,,,,,,25.0,25.0,5.755755755755757,0.0,-17.0,0.46378444025863036,-0.28479555113485905,0.04065817465746689,0.041337974559353396,-3540.0,2315.2300896993656,4544.387530477821,500.0,2415.0,0.026109496899528843,7.52637987516553,7.8899830573258525,6.071621114907827,OF1,GC,0,False,False,,,2
