mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
20,25,0,168,159.0,pos+cell,0.0124346213593254,120.00000000000009
20,25,0,168,160.0,pos+cell,0.0035007864425613,89.99999999999987
20,25,0,168,163.0,pos+cell,0.0045765868695,74.9999999999996
20,25,0,168,164.0,pos+cell,0.0060096778135066,44.999999999999936
20,25,0,168,166.0,pos+cell,0.0060768115716263,29.999999999999655
20,25,0,168,170.0,pos+cell,0.0059422405442127,14.999999999999828
20,25,0,168,178.0,pos+cell,-0.0002221894958917,120.0
20,25,0,170,,pos,-0.0005520246795751,
20,25,0,170,155.0,pos+cell,-0.0013488898341061,209.9999999999995
20,25,0,170,157.0,pos+cell,-0.000304197873058,164.99999999999957
20,25,0,170,159.0,pos+cell,-0.0001571991125174,134.99999999999991
20,25,0,170,160.0,pos+cell,-0.0017522503534509,104.9999999999997
20,25,0,170,163.0,pos+cell,0.0027626299469074,89.99999999999943
20,25,0,170,164.0,pos+cell,0.0022509304403482,59.999999999999766
20,25,0,170,166.0,pos+cell,0.0002951414689774,44.99999999999949
20,25,0,170,168.0,pos+cell,0.0028333104464168,14.999999999999828
20,25,0,170,178.0,pos+cell,0.0001492060267335,105.00000000000016
20,25,0,178,,pos,-0.0026439906475186,
20,25,0,178,155.0,pos+cell,-0.0002546360949374,314.99999999999966
20,25,0,178,157.0,pos+cell,-0.0008939149930427,269.9999999999997
20,25,0,178,159.0,pos+cell,-0.0015062557395432,240.00000000000009
20,25,0,178,160.0,pos+cell,-0.0006178198667428,209.99999999999983
20,25,0,178,163.0,pos+cell,-1.3446745441458852e-05,194.99999999999957
20,25,0,178,164.0,pos+cell,0.0002127934978379,164.99999999999994
20,25,0,178,166.0,pos+cell,9.674353677845416e-05,149.99999999999966
20,25,0,178,168.0,pos+cell,0.0004623022729187,120.0
20,25,0,178,170.0,pos+cell,-0.0003362634968632,105.00000000000016
21,16,0,16,,pos,-0.0071611152700622,
21,16,0,16,201.0,pos+cell,-0.0067958251412195,311.69590559409227
21,16,0,16,294.0,pos+cell,-0.0052432470783563,529.4621722141749
21,16,0,16,313.0,pos+cell,-0.0073988892234948,562.8926599390454
21,16,0,16,326.0,pos+cell,-0.0096544223021501,541.1415573632632
21,16,0,16,466.0,pos+cell,-0.0088320815499691,597.5619644888529
21,16,0,16,475.0,pos+cell,-0.0072250695524358,597.8625900596543
21,16,0,16,482.0,pos+cell,-0.0052151473246201,599.590215873274
21,16,0,16,484.0,pos+cell,-0.0057105759435317,602.8077449312353
21,16,0,16,485.0,pos+cell,-0.0080286585209229,602.8077449312353
21,16,0,16,495.0,pos+cell,-0.0050868103905169,613.6079188743613
21,16,0,16,499.0,pos+cell,-0.0020311747742252,617.1904513959896
21,16,0,16,502.0,pos+cell,-0.0072709138128095,621.1146661313401
21,16,0,16,506.0,pos+cell,-0.0103248793107464,625.3741309588255
21,16,0,16,510.0,pos+cell,-0.0067905826635393,634.8712893576372
21,16,0,16,513.0,pos+cell,-0.0078599055980184,651.4519779828828
21,16,0,16,524.0,pos+cell,-0.0063694320186621,663.971708731579
21,16,0,16,529.0,pos+cell,-0.0070812115838262,677.5892416309852
21,16,0,16,540.0,pos+cell,-0.0046087414336785,699.9323581184377
21,16,0,201,,pos,0.0181808905498715,
21,16,0,201,16.0,pos+cell,0.0163805904772021,311.69590559409227
21,16,0,201,294.0,pos+cell,0.0136091423656743,539.9999999999999
21,16,0,201,313.0,pos+cell,0.0145936770681693,251.9662330217265
21,16,0,201,326.0,pos+cell,0.0144549950690456,233.24946669366025
21,16,0,201,466.0,pos+cell,0.0132628308217033,425.41981647618246
21,16,0,201,475.0,pos+cell,0.0148044012917781,428.7110016210961
21,16,0,201,482.0,pos+cell,0.015057761386368,436.7669037732056
21,16,0,201,484.0,pos+cell,0.0149201942216107,446.6962430469972
21,16,0,201,485.0,pos+cell,0.0128132458831182,446.6962430469972
21,16,0,201,495.0,pos+cell,0.0127923289307758,471.67991709806864
21,16,0,201,499.0,pos+cell,0.015844528211941,478.8977415419447
21,16,0,201,502.0,pos+cell,0.0143582564206608,486.4711188902272
21,16,0,201,506.0,pos+cell,0.0146271968808227,494.38370945515993
21,16,0,201,510.0,pos+cell,0.0143810150902026,511.1628483128581
21,16,0,201,513.0,pos+cell,0.0151106776606867,538.4893364555304
21,16,0,201,524.0,pos+cell,0.0138748940267535,557.9811563099483
21,16,0,201,529.0,pos+cell,0.0141119348158177,578.3728694515813
21,16,0,201,540.0,pos+cell,0.0136661250156775,610.449411580239
21,16,0,294,,pos,0.0119435911855087,
21,16,0,294,16.0,pos+cell,0.0107249866726591,529.4621722141749
21,16,0,294,201.0,pos+cell,0.0101151288615343,539.9999999999999
21,16,0,294,313.0,pos+cell,0.0103884141828301,679.6880159544745
21,16,0,294,326.0,pos+cell,0.0102862214404165,609.8385604239807
21,16,0,294,466.0,pos+cell,0.0101648867347078,609.6109037249521
21,16,0,294,475.0,pos+cell,0.0098619330768307,598.5689300063771
21,16,0,294,482.0,pos+cell,0.0107422026683268,577.0211296185191
21,16,0,294,484.0,pos+cell,0.0096539514953589,556.2571384562045
21,16,0,294,485.0,pos+cell,0.009287975835828,556.2571384562045
21,16,0,294,495.0,pos+cell,0.0094930990047051,517.4545817731172
21,16,0,294,499.0,pos+cell,0.0097110591416709,508.3980273630275
21,16,0,294,502.0,pos+cell,0.0095208538715901,499.6277256670658
21,16,0,294,506.0,pos+cell,0.009582624314579,491.1590112009256
21,16,0,294,510.0,pos+cell,0.0105588976675007,475.1902717239952
21,16,0,294,513.0,pos+cell,0.0096030381892582,453.9093790912493
21,16,0,294,524.0,pos+cell,0.0094937228001553,441.70391042445743
21,16,0,294,529.0,pos+cell,0.0095450130248278,431.243509564503
21,16,0,294,540.0,pos+cell,0.0098782135564631,419.10487306566824
21,16,0,313,,pos,-0.0015023743681635,
21,16,0,313,16.0,pos+cell,-0.0012773750907424,562.8926599390454
21,16,0,313,201.0,pos+cell,0.0002009715239238,251.9662330217265
21,16,0,313,294.0,pos+cell,-0.0014392231291269,679.6880159544745
21,16,0,313,326.0,pos+cell,-0.0001878618491164,75.00000000000007
21,16,0,313,466.0,pos+cell,-0.0005605760700406,415.598107021317
21,16,0,313,475.0,pos+cell,-0.0006681248800778,422.0028614395706
21,16,0,313,482.0,pos+cell,0.0004359348285609,436.0798918434016
21,16,0,313,484.0,pos+cell,0.000315067574259,451.7133262115695
21,16,0,313,485.0,pos+cell,0.0026385741639821,451.7133262115695
21,16,0,313,495.0,pos+cell,-0.0002012190663722,487.0353612326877
21,16,0,313,499.0,pos+cell,0.0008847446655409,496.6065561332611
21,16,0,313,502.0,pos+cell,0.0005801057222352,506.4412109001606
21,16,0,313,506.0,pos+cell,0.0031293512563647,516.5242768752545
21,16,0,313,510.0,pos+cell,0.0034588846410317,537.3793684246466
21,16,0,313,513.0,pos+cell,-0.0022522237402198,570.1933629207924
21,16,0,313,524.0,pos+cell,0.0049358845522353,592.9584539627458
21,16,0,313,529.0,pos+cell,0.0037008918709341,616.3432364623278
21,16,0,313,540.0,pos+cell,0.0052613165897808,652.4361046442075
21,16,1,324,,pos,0.0130448958657327,
21,16,1,324,476.0,pos+cell,0.0134095845588711,394.2239303697653
21,16,1,324,490.0,pos+cell,0.0136957232930915,424.29453086484
21,16,0,326,,pos,0.0076576038983583,
21,16,0,326,16.0,pos+cell,0.0075799763509218,541.1415573632632
21,16,0,326,201.0,pos+cell,0.006792573815698,233.24946669366025
21,16,0,326,294.0,pos+cell,0.0075241273114097,609.8385604239807
21,16,0,326,313.0,pos+cell,0.0076147067444381,75.00000000000007
21,16,0,326,466.0,pos+cell,0.0083788982047194,385.6386529096032
21,16,0,326,475.0,pos+cell,0.0076024371971049,389.6663174397541
21,16,0,326,482.0,pos+cell,0.0073747719123466,399.2933453055677
21,16,0,326,484.0,pos+cell,0.0063596293318743,410.88990284936807
21,16,0,326,485.0,pos+cell,0.0121712538754486,410.88990284936807
21,16,0,326,495.0,pos+cell,0.009323386403312,439.3417639834248
21,16,0,326,499.0,pos+cell,0.0095827988325369,447.43027826600303
21,16,0,326,502.0,pos+cell,0.0097868163420345,455.86897485825745
