mouse,day,gc_cluster_id,gc_shank,sc_x,sc_x_bin,cov_shank,shank_dist,pR2,accuracy,precision,recall,n_trials,n_ngs_cells,pR2_ta,pR2_nta,accuracy_ta,precision_ta,recall_ta,accuracy_nta,precision_nta,recall_nta,pR2_pos,pR2_pos_ta,pR2_pos_nta,f1
28,23,315,3,3600.0,3600–3800,3,0,0.11880276765207684,0.9680851063829787,1.0,0.9666666666666667,188,81,0.11725213726715378,0.08847456370082019,0.9666666666666667,1.0,0.9666666666666667,1.0,0.0,0.0,0.07007077471211214,0.06837002165977801,0.04586911506263047,0.983050847457627
28,25,126,1,3120.0,3000–3200,0,1,0.011945969129606205,0.48130841121495327,0.47641509433962265,1.0,214,25,0.011290043631759339,0.005573758795729633,1.0,1.0,1.0,0.017699115044247787,0.0,0.0,0.00443585886035105,0.002958211877994721,-0.0003486663283289726,0.6453674121405751
28,25,126,1,3120.0,3000–3200,1,0,0.02293108991141194,0.48130841121495327,0.4739583333333333,0.900990099009901,214,8,0.023740782768533086,0.015077991047598771,0.900990099009901,1.0,0.900990099009901,0.10619469026548672,0.0,0.0,0.00443585886035105,0.002958211877994721,-0.0003486663283289726,0.6211604095563139
28,25,126,1,3120.0,3000–3200,2,1,0.007663895575695634,0.6308411214953271,0.5785714285714286,0.801980198019802,214,16,0.006232517391015491,0.003368256941301717,0.801980198019802,1.0,0.801980198019802,0.4778761061946903,0.0,0.0,0.00443585886035105,0.002958211877994721,-0.0003486663283289726,0.6721991701244815
28,25,126,1,3120.0,3000–3200,3,2,0.014081278559502997,0.4719626168224299,0.4673913043478261,0.8514851485148515,214,32,0.012359193453869266,0.010207416055902585,0.8514851485148515,1.0,0.8514851485148515,0.13274336283185842,0.0,0.0,0.00443585886035105,0.002958211877994721,-0.0003486663283289726,0.6035087719298246
28,25,140,1,3120.0,3000–3200,0,1,0.06759533182567284,0.34579439252336447,0.34579439252336447,1.0,214,25,0.0417264032054957,0.028961898035796074,1.0,1.0,1.0,0.0,0.0,0.0,0.01946621220582927,0.006371650623453351,0.004121358340212988,0.5138888888888888
28,25,140,1,3120.0,3000–3200,1,0,0.1499089532095458,0.4953271028037383,0.36065573770491804,0.5945945945945946,214,8,0.11047832252502487,0.09679951166536094,0.5945945945945946,1.0,0.5945945945945946,0.44285714285714284,0.0,0.0,0.01946621220582927,0.006371650623453351,0.004121358340212988,0.44897959183673464
28,25,140,1,3120.0,3000–3200,2,1,0.03914043304236335,0.46261682242990654,0.34108527131782945,0.5945945945945946,214,16,0.006126389261061571,0.016740409871248474,0.5945945945945946,1.0,0.5945945945945946,0.39285714285714285,0.0,0.0,0.01946621220582927,0.006371650623453351,0.004121358340212988,0.4334975369458128
28,25,140,1,3120.0,3000–3200,3,2,0.07008361413216675,0.34579439252336447,0.34579439252336447,1.0,214,32,0.040119355000409085,0.03324532292719562,1.0,1.0,1.0,0.0,0.0,0.0,0.01946621220582927,0.006371650623453351,0.004121358340212988,0.5138888888888888
28,25,147,1,3120.0,3000–3200,0,1,0.05320408008300355,0.48130841121495327,0.48130841121495327,1.0,214,25,0.04033178262591375,0.05024050809476999,1.0,1.0,1.0,0.0,0.0,0.0,0.017820939959884076,0.011663308515068138,0.008565954177542912,0.6498422712933754
28,25,147,1,3120.0,3000–3200,1,0,0.05380440675236612,0.40186915887850466,0.41379310344827586,0.5825242718446602,214,8,0.040591234140554766,0.05356490667042946,0.5825242718446602,1.0,0.5825242718446602,0.23423423423423423,0.0,0.0,0.017820939959884076,0.011663308515068138,0.008565954177542912,0.4838709677419355
28,25,147,1,3120.0,3000–3200,2,1,0.01413250405965113,0.5280373831775701,0.5102040816326531,0.4854368932038835,214,16,0.017999906003428823,-0.0071225105026646585,0.4854368932038835,1.0,0.4854368932038835,0.5675675675675675,0.0,0.0,0.017820939959884076,0.011663308515068138,0.008565954177542912,0.4975124378109453
28,25,147,1,3120.0,3000–3200,3,2,0.033339064497957496,0.5981308411214953,0.5459459459459459,0.9805825242718447,214,32,0.022961017784975724,0.029293891216845225,0.9805825242718447,1.0,0.9805825242718447,0.24324324324324326,0.0,0.0,0.017820939959884076,0.011663308515068138,0.008565954177542912,0.701388888888889
28,25,149,1,3120.0,3000–3200,0,1,0.12156638941811508,0.5654205607476636,0.5472636815920398,0.9821428571428571,214,25,0.0849862876079811,-0.006016730257419889,0.9821428571428571,1.0,0.9821428571428571,0.10784313725490197,0.0,0.0,-0.002097642752878215,-0.014128810967029448,-0.1923374841922194,0.7028753993610223
28,25,149,1,3120.0,3000–3200,1,0,0.2161024486094547,0.5887850467289719,0.6,0.6428571428571429,214,8,0.16071258450366044,0.12419904421334105,0.6428571428571429,1.0,0.6428571428571429,0.5294117647058824,0.0,0.0,-0.002097642752878215,-0.014128810967029448,-0.1923374841922194,0.6206896551724138
28,25,149,1,3120.0,3000–3200,2,1,0.0394143592779145,0.5934579439252337,0.631578947368421,0.5357142857142857,214,16,0.010062710609662795,-0.05223633645880876,0.5357142857142857,1.0,0.5357142857142857,0.6568627450980392,0.0,0.0,-0.002097642752878215,-0.014128810967029448,-0.1923374841922194,0.5797101449275361
28,25,149,1,3120.0,3000–3200,3,2,0.11174254681281393,0.4672897196261682,0.49504950495049505,0.8928571428571429,214,32,0.06714369923946306,-0.06162309330739202,0.8928571428571429,1.0,0.8928571428571429,0.0,0.0,0.0,-0.002097642752878215,-0.014128810967029448,-0.1923374841922194,0.6369426751592357
28,25,154,1,3120.0,3000–3200,0,1,0.009707086507749808,0.4439252336448598,0.4439252336448598,1.0,214,25,0.015322060173253327,0.003210142418985318,1.0,1.0,1.0,0.0,0.0,0.0,0.012839614506756558,0.020344269365719536,0.006450514052728007,0.6148867313915858
28,25,154,1,3120.0,3000–3200,1,0,0.022050728990823144,0.5700934579439252,0.5094339622641509,0.8526315789473684,214,8,0.02642484103790832,0.01598769616735707,0.8526315789473684,1.0,0.8526315789473684,0.3445378151260504,0.0,0.0,0.012839614506756558,0.020344269365719536,0.006450514052728007,0.6377952755905512
28,25,154,1,3120.0,3000–3200,2,1,0.015016668438268122,0.5981308411214953,0.5671641791044776,0.4,214,16,0.014825575336203656,0.012648411500363888,0.4,1.0,0.4,0.7563025210084033,0.0,0.0,0.012839614506756558,0.020344269365719536,0.006450514052728007,0.46913580246913583
28,25,154,1,3120.0,3000–3200,3,2,0.014075156741723927,0.46261682242990654,0.4523809523809524,1.0,214,32,0.01835589604893295,0.009251474329858178,1.0,1.0,1.0,0.03361344537815126,0.0,0.0,0.012839614506756558,0.020344269365719536,0.006450514052728007,0.6229508196721312
28,25,155,1,3120.0,3000–3200,0,1,0.04152404110063303,0.602803738317757,0.602803738317757,1.0,214,25,0.04624158910999543,0.032158851904088626,1.0,1.0,1.0,0.0,0.0,0.0,0.030887213458921137,0.03418569834307583,0.02387052737005635,0.7521865889212829
